round,season,hometeam,goalsht,goalsvt,visitingteam,data_partida
1,2007,Figueirense,3,6,Athletico-PR,2007-05-12
1,2007,Fluminense,2,2,Cruzeiro,2007-05-12
1,2007,Sao Paulo,2,0,Goias,2007-05-12
1,2007,Parana,3,0,Gremio,2007-05-13
1,2007,Flamengo,2,4,Palmeiras,2007-05-13
1,2007,Internacional,2,3,Botafogo,2007-05-13
1,2007,Atletico-MG,2,1,Nautico,2007-05-13
1,2007,America-RN,0,1,Vasco,2007-05-13
1,2007,Corinthians,1,0,Juventude,2007-05-13
1,2007,Sport,4,1,Santos,2007-05-13
2,2007,Santos,2,3,America-RN,2007-05-19
2,2007,Athletico-PR,2,1,Internacional,2007-05-19
2,2007,Juventude,1,2,Parana,2007-05-19
2,2007,Goias,1,3,Flamengo,2007-05-20
2,2007,Botafogo,2,1,Atletico-MG,2007-05-20
2,2007,Cruzeiro,0,3,Corinthians,2007-05-20
2,2007,Palmeiras,2,1,Figueirense,2007-05-20
2,2007,Gremio,2,0,Fluminense,2007-05-20
2,2007,Nautico,1,0,Sao Paulo,2007-05-20
2,2007,Vasco,3,1,Sport,2007-05-20
3,2007,America-RN,0,1,Figueirense,2007-05-26
3,2007,Corinthians,0,0,Atletico-MG,2007-05-26
3,2007,Fluminense,3,0,Internacional,2007-05-26
3,2007,Sao Paulo,0,0,Palmeiras,2007-05-27
3,2007,Gremio,1,0,Sport,2007-05-27
3,2007,Nautico,2,2,Vasco,2007-05-27
3,2007,Athletico-PR,0,1,Santos,2007-05-27
3,2007,Flamengo,2,2,Botafogo,2007-05-27
3,2007,Cruzeiro,3,4,Parana,2007-05-27
3,2007,Goias,3,1,Juventude,2007-05-27
4,2007,Atletico-MG,1,1,Athletico-PR,2007-06-02
4,2007,Botafogo,3,0,Gremio,2007-06-02
4,2007,Figueirense,2,1,Goias,2007-06-02
4,2007,Juventude,3,0,America-RN,2007-06-03
4,2007,Santos,1,1,Corinthians,2007-06-03
4,2007,Sport,2,2,Flamengo,2007-06-03
4,2007,Palmeiras,1,3,Cruzeiro,2007-06-03
4,2007,Vasco,1,1,Fluminense,2007-06-03
4,2007,Parana,0,1,Sao Paulo,2007-06-03
4,2007,Internacional,2,0,Nautico,2007-06-04
5,2007,Vasco,4,0,Gremio,2007-06-09
5,2007,Palmeiras,1,1,Botafogo,2007-06-09
5,2007,Nautico,4,4,Parana,2007-06-09
5,2007,America-RN,1,2,Corinthians,2007-06-10
5,2007,Fluminense,3,0,Sport,2007-06-10
5,2007,Figueirense,4,0,Flamengo,2007-06-10
5,2007,Athletico-PR,0,3,Goias,2007-06-10
5,2007,Internacional,1,0,Santos,2007-06-10
5,2007,Sao Paulo,0,1,Atletico-MG,2007-06-10
5,2007,Cruzeiro,2,3,Juventude,2007-06-10
6,2007,Gremio,0,2,Cruzeiro,2007-06-16
6,2007,Corinthians,0,0,Parana,2007-06-16
6,2007,Flamengo,2,2,Internacional,2007-06-16
6,2007,Goias,3,1,Palmeiras,2007-06-17
6,2007,Atletico-MG,4,1,Figueirense,2007-06-17
6,2007,Sao Paulo,2,0,Vasco,2007-06-17
6,2007,Athletico-PR,1,1,Fluminense,2007-06-17
6,2007,Juventude,0,2,Santos,2007-06-17
6,2007,Botafogo,3,1,Nautico,2007-06-17
6,2007,Sport,2,2,America-RN,2007-06-17
7,2007,Juventude,1,1,Figueirense,2007-06-23
7,2007,Parana,1,0,Sport,2007-06-23
7,2007,Palmeiras,0,2,Athletico-PR,2007-06-24
7,2007,America-RN,0,1,Fluminense,2007-06-24
7,2007,Santos,0,2,Sao Paulo,2007-06-24
7,2007,Cruzeiro,4,2,Atletico-MG,2007-06-24
7,2007,Nautico,0,2,Goias,2007-06-24
7,2007,Internacional,0,2,Gremio,2007-06-24
7,2007,Botafogo,2,3,Corinthians,2007-08-15
7,2007,Vasco,1,2,Flamengo,2007-10-18
8,2007,Sport,4,1,Nautico,2007-06-28
8,2007,Figueirense,0,0,Sao Paulo,2007-06-28
8,2007,Santos,0,0,Gremio,2007-06-30
8,2007,Cruzeiro,3,1,Vasco,2007-06-30
8,2007,America-RN,0,3,Goias,2007-06-30
8,2007,Corinthians,0,1,Palmeiras,2007-06-30
8,2007,Internacional,1,1,Atletico-MG,2007-06-30
8,2007,Parana,2,2,Athletico-PR,2007-06-30
8,2007,Fluminense,1,2,Botafogo,2007-06-30
8,2007,Flamengo,4,0,Juventude,2007-08-23
9,2007,Palmeiras,2,0,America-RN,2007-07-03
9,2007,Sao Paulo,1,0,Internacional,2007-07-03
9,2007,Fluminense,0,0,Parana,2007-07-03
9,2007,Gremio,3,1,Juventude,2007-07-03
9,2007,Athletico-PR,1,1,Nautico,2007-07-03
9,2007,Figueirense,2,1,Cruzeiro,2007-07-03
9,2007,Goias,1,1,Botafogo,2007-07-03
9,2007,Vasco,4,0,Santos,2007-07-04
9,2007,Atletico-MG,1,1,Flamengo,2007-07-04
9,2007,Sport,2,1,Corinthians,2007-07-04
10,2007,Parana,0,1,America-RN,2007-07-06
10,2007,Atletico-MG,0,1,Gremio,2007-07-07
10,2007,Santos,4,1,Cruzeiro,2007-07-07
10,2007,Corinthians,1,1,Fluminense,2007-07-07
10,2007,Nautico,0,1,Palmeiras,2007-07-07
10,2007,Juventude,2,0,Vasco,2007-07-07
10,2007,Internacional,2,1,Figueirense,2007-07-07
10,2007,Goias,3,2,Sport,2007-07-07
10,2007,Sao Paulo,0,0,Flamengo,2007-07-07
10,2007,Botafogo,2,0,Athletico-PR,2007-07-07
11,2007,Parana,1,2,Figueirense,2007-07-12
11,2007,Juventude,1,1,Nautico,2007-07-12
11,2007,Vasco,1,0,Athletico-PR,2007-07-12
11,2007,Gremio,1,1,Palmeiras,2007-07-14
11,2007,Santos,3,0,Botafogo,2007-07-14
11,2007,Sport,2,0,Atletico-MG,2007-07-14
11,2007,America-RN,1,2,Internacional,2007-07-14
11,2007,Cruzeiro,2,1,Goias,2007-07-14
11,2007,Corinthians,1,1,Sao Paulo,2007-07-14
11,2007,Fluminense,0,1,Flamengo,2007-08-16
12,2007,Botafogo,4,0,Vasco,2007-06-14
12,2007,Figueirense,0,1,Sport,2007-07-18
12,2007,Athletico-PR,4,0,Juventude,2007-07-18
12,2007,Atletico-MG,4,1,America-RN,2007-07-18
12,2007,Internacional,3,0,Corinthians,2007-07-18
12,2007,Sao Paulo,0,1,Fluminense,2007-07-18
12,2007,Nautico,1,4,Cruzeiro,2007-07-18
12,2007,Palmeiras,2,2,Santos,2007-07-19
12,2007,Goias,0,0,Gremio,2007-07-19
12,2007,Flamengo,1,2,Parana,2007-07-19
13,2007,Vasco,4,0,Atletico-MG,2007-07-21
13,2007,Juventude,2,0,Internacional,2007-07-21
13,2007,America-RN,2,1,Athletico-PR,2007-07-21
13,2007,Corinthians,0,3,Nautico,2007-07-22
13,2007,Cruzeiro,1,2,Sao Paulo,2007-07-22
13,2007,Gremio,1,0,Flamengo,2007-07-22
13,2007,Fluminense,3,0,Goias,2007-07-22
13,2007,Sport,3,3,Botafogo,2007-07-22
13,2007,Parana,1,0,Palmeiras,2007-07-22
13,2007,Santos,3,1,Figueirense,2007-07-22
14,2007,Athletico-PR,2,2,Cruzeiro,2007-07-25
14,2007,Goias,1,0,Santos,2007-07-25
14,2007,Flamengo,3,1,America-RN,2007-07-25
14,2007,Nautico,0,2,Gremio,2007-07-25
14,2007,Palmeiras,3,2,Vasco,2007-07-25
14,2007,Figueirense,2,2,Corinthians,2007-07-25
14,2007,Internacional,1,0,Parana,2007-07-25
14,2007,Botafogo,3,1,Juventude,2007-07-26
14,2007,Sao Paulo,3,1,Sport,2007-07-26
14,2007,Atletico-MG,3,0,Fluminense,2007-07-26
15,2007,Santos,1,2,Nautico,2007-07-28
15,2007,Gremio,1,1,Athletico-PR,2007-07-28
15,2007,Vasco,4,1,Goias,2007-07-28
15,2007,Parana,1,3,Atletico-MG,2007-07-29
15,2007,Juventude,1,1,Palmeiras,2007-07-29
