home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,data,hora
Palmeiras,SP,Portuguesa,SP,1,1,2012,1,2012-05-19,18:30:00
Sport,PE,Flamengo,RJ,1,1,2012,1,2012-05-19,18:30:00
Figueirense,SC,Nautico,PE,2,1,2012,1,2012-05-19,21:00:00
Ponte Preta,SP,Atletico-MG,MG,0,1,2012,1,2012-05-20,16:00:00
Corinthians,SP,Fluminense,RJ,0,1,2012,1,2012-05-20,16:00:00
Botafogo,RJ,Sao Paulo,SP,4,2,2012,1,2012-05-20,16:00:00
Internacional,RS,Coritiba,PR,2,0,2012,1,2012-05-20,16:00:00
Vasco,RJ,Gremio,RS,2,1,2012,1,2012-05-20,18:30:00
Bahia,BA,Santos,SP,0,0,2012,1,2012-05-20,18:30:00
Cruzeiro,MG,Atletico-GO,GO,0,0,2012,1,2012-05-20,18:30:00
Atletico-GO,GO,Ponte Preta,SP,1,1,2012,2,2012-05-26,18:30:00
Flamengo,RJ,Internacional,RS,3,3,2012,2,2012-05-26,18:30:00
Portuguesa,SP,Vasco,RJ,0,1,2012,2,2012-05-26,18:30:00
Nautico,PE,Cruzeiro,MG,0,0,2012,2,2012-05-26,21:00:00
Santos,SP,Sport,PE,0,0,2012,2,2012-05-27,16:00:00
Atletico-MG,MG,Corinthians,SP,1,0,2012,2,2012-05-27,16:00:00
Coritiba,PR,Botafogo,RJ,2,3,2012,2,2012-05-27,16:00:00
Sao Paulo,SP,Bahia,BA,1,0,2012,2,2012-05-27,16:00:00
Gremio,RS,Palmeiras,SP,1,0,2012,2,2012-05-27,18:30:00
Fluminense,RJ,Figueirense,SC,2,2,2012,2,2012-05-27,18:30:00
Atletico-GO,GO,Gremio,RS,0,1,2012,3,2012-06-06,19:30:00
Sport,PE,Palmeiras,SP,2,1,2012,3,2012-06-06,19:30:00
Vasco,RJ,Nautico,PE,4,2,2012,3,2012-06-06,20:30:00
Atletico-MG,MG,Bahia,BA,1,1,2012,3,2012-06-06,20:30:00
Coritiba,PR,Portuguesa,SP,2,0,2012,3,2012-06-06,20:30:00
Ponte Preta,SP,Flamengo,RJ,2,2,2012,3,2012-06-06,21:50:00
Internacional,RS,Sao Paulo,SP,1,0,2012,3,2012-06-06,21:50:00
Santos,SP,Fluminense,RJ,1,1,2012,3,2012-06-06,21:50:00
Corinthians,SP,Figueirense,SC,1,1,2012,3,2012-06-07,21:00:00
Botafogo,RJ,Cruzeiro,MG,2,3,2012,3,2012-06-07,21:00:00
Flamengo,RJ,Coritiba,PR,3,1,2012,4,2012-06-09,18:30:00
Palmeiras,SP,Atletico-MG,MG,0,1,2012,4,2012-06-09,21:00:00
Portuguesa,SP,Atletico-GO,GO,2,0,2012,4,2012-06-10,16:00:00
Gremio,RS,Corinthians,SP,2,0,2012,4,2012-06-10,17:00:00
Fluminense,RJ,Internacional,RS,0,0,2012,4,2012-06-10,17:00:00
Bahia,BA,Vasco,RJ,1,2,2012,4,2012-06-10,17:00:00
Nautico,PE,Botafogo,RJ,3,2,2012,4,2012-06-10,18:30:00
Figueirense,SC,Ponte Preta,SP,0,0,2012,4,2012-06-10,18:30:00
Cruzeiro,MG,Sport,PE,1,0,2012,4,2012-06-10,18:30:00
Sao Paulo,SP,Santos,SP,1,0,2012,4,2012-06-10,18:30:00
Internacional,RS,Botafogo,RJ,1,2,2012,5,2012-06-16,18:30:00
Cruzeiro,MG,Figueirense,SC,1,0,2012,5,2012-06-16,18:30:00
Fluminense,RJ,Portuguesa,SP,4,1,2012,5,2012-06-16,21:00:00
Sao Paulo,SP,Atletico-MG,MG,1,0,2012,5,2012-06-17,16:00:00
Palmeiras,SP,Vasco,RJ,1,1,2012,5,2012-06-17,16:00:00
Bahia,BA,Sport,PE,2,1,2012,5,2012-06-17,16:00:00
Flamengo,RJ,Santos,SP,1,0,2012,5,2012-06-17,16:00:00
Nautico,PE,Gremio,RS,1,0,2012,5,2012-06-17,18:30:00
