id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
1,1,2003-03-29,16:00,Guarani,Vasco,ausente,ausente,ausente,ausente,Guarani, Brinco de Ouro,4,2,SP,RJ
2,1,2003-03-29,16:00,Athletico-PR,Gremio,ausente,ausente,ausente,ausente,Athletico-PR, Arena da Baixada,2,0,PR,RS
3,1,2003-03-30,16:00,Flamengo,Coritiba,ausente,ausente,ausente,ausente,ausente, Maracanã,1,1,RJ,PR
4,1,2003-03-30,16:00,Goias,Paysandu,ausente,ausente,ausente,ausente,ausente, Serra Dourada,2,2,GO,PA
5,1,2003-03-30,16:00,Internacional,Ponte Preta,ausente,ausente,ausente,ausente,ausente, Beira Rio,1,1,RS,SP
6,1,2003-03-30,16:00,Criciuma,Fluminense,ausente,ausente,ausente,ausente,Criciuma, Heriberto Hulse,2,0,SC,RJ
7,1,2003-03-30,16:00,Juventude,Sao Paulo,ausente,ausente,ausente,ausente,ausente, Alfredo Jaconi,2,2,RS,SP
8,1,2003-03-30,16:00,Fortaleza,Bahia,ausente,ausente,ausente,ausente,ausente, Castelão,0,0,CE,BA
9,1,2003-03-30,16:00,Cruzeiro,Sao Caetano,ausente,ausente,ausente,ausente,ausente, Mineirão,2,2,MG,SP
10,1,2003-03-30,16:00,Vitoria,Figueirense,ausente,ausente,ausente,ausente,ausente, Barradão,1,1,BA,SC
11,1,2003-03-30,18:00,Santos,Parana,ausente,ausente,ausente,ausente,ausente, Vila Belmiro,2,2,SP,PR
12,1,2003-03-30,18:00,Corinthians,Atletico-MG,ausente,ausente,ausente,ausente,Atletico-MG, Pacaembu,0,3,SP,MG
13,2,2003-04-05,16:00,Fluminense,Fortaleza,ausente,ausente,ausente,ausente,ausente, Maracanã,1,1,RJ,CE
14,2,2003-04-05,16:00,Atletico-MG,Santos,ausente,ausente,ausente,ausente,ausente, Mineirão,0,0,MG,SP
15,2,2003-04-05,16:00,Coritiba,Internacional,ausente,ausente,ausente,ausente,Internacional, Couto Pereira,0,1,PR,RS
16,2,2003-04-05,18:00,Gremio,Guarani,ausente,ausente,ausente,ausente,Gremio, Olímpico,3,1,RS,SP
17,2,2003-04-06,16:00,Bahia,Flamengo,ausente,ausente,ausente,ausente,Flamengo, Fonte Nova,1,2,BA,RJ
18,2,2003-04-06,16:00,Figueirense,Corinthians,ausente,ausente,ausente,ausente,ausente, Orlando Scarpelli,3,3,SC,SP
19,2,2003-04-06,16:00,Paysandu,Vitoria,ausente,ausente,ausente,ausente,Vitoria, Mangueirão,1,2,PA,BA
20,2,2003-04-06,16:00,Ponte Preta,Juventude,ausente,ausente,ausente,ausente,Ponte Preta, Moisés Lucarelli,1,0,SP,RS
21,2,2003-04-06,16:00,Parana,Athletico-PR,ausente,ausente,ausente,ausente,Parana, Pinheirão,3,0,PR,PR
22,2,2003-04-06,16:00,Sao Caetano,Criciuma,ausente,ausente,ausente,ausente,Sao Caetano, Anacleto Campanella,3,2,SP,SC
23,2,2003-04-06,18:00,Sao Paulo,Cruzeiro,ausente,ausente,ausente,ausente,Cruzeiro, Morumbi,2,4,SP,MG
24,2,2003-04-06,18:00,Vasco,Goias,ausente,ausente,ausente,ausente,Vasco, São Januário,6,4,RJ,GO
25,4,2003-04-09,21:40,Paysandu,Santos,ausente,ausente,ausente,ausente,Paysandu, Mangueirão,2,1,PA,SP
37,3,2003-04-12,16:00,Internacional,Bahia,ausente,ausente,ausente,ausente,Internacional, Beira Rio,2,0,RS,BA
38,3,2003-04-12,16:00,Santos,Figueirense,ausente,ausente,ausente,ausente,Santos, Vila Belmiro,2,0,SP,SC
